method,seed,test_fold,reported_mcc,oracle_mcc,gap,cal_method,calibrated_mcc,oracle_recovery
E3.A,2,unsw_nb15,-0.24834082929511497,0.0,0.24834082929511497,otsu,-0.2581708767849476,-0.039582889038963155
E3.A,2,unsw_nb15,-0.24834082929511497,0.0,0.24834082929511497,gmm,-0.32451636441723475,-0.30673786238990464
E3.A,2,unsw_nb15,-0.24834082929511497,0.0,0.24834082929511497,topk10,-0.09263042102185146,0.6270028521497187
E3.A,2,unsw_nb15,-0.24834082929511497,0.0,0.24834082929511497,topk20,-0.130711466818112,0.47366098764701525
E3.A,2,unsw_nb15,-0.24834082929511497,0.0,0.24834082929511497,topk30,-0.1710908293683628,0.3110644357032101
E3.A,2,unsw_nb15,-0.24834082929511497,0.0,0.24834082929511497,topk40,-0.21978335256863013,0.11499307950102987
E3.A,2,unsw_nb15,-0.24834082929511497,0.0,0.24834082929511497,prevalence_transfer,-0.10276212732987451,0.586205266280409
E6.2_msa,2,cic_ids2018,-0.02605205235824694,0.2457668897990175,0.27181894215726443,otsu,0.23571321464136938,0.9630133386663265
E6.2_msa,2,cic_ids2018,-0.02605205235824694,0.2457668897990175,0.27181894215726443,gmm,0.2355421120557876,0.962383866031992
E6.2_msa,2,cic_ids2018,-0.02605205235824694,0.2457668897990175,0.27181894215726443,topk10,0.09762065331832999,0.4549819254503038
E6.2_msa,2,cic_ids2018,-0.02605205235824694,0.2457668897990175,0.27181894215726443,topk20,0.006156574695035604,0.11849294533214622
E6.2_msa,2,cic_ids2018,-0.02605205235824694,0.2457668897990175,0.27181894215726443,topk30,-0.034447319565020576,-0.03088551202556164
E6.2_msa,2,cic_ids2018,-0.02605205235824694,0.2457668897990175,0.27181894215726443,topk40,0.03842827330806454,0.23721792585376755
E6.2_msa,2,cic_ids2018,-0.02605205235824694,0.2457668897990175,0.27181894215726443,prevalence_transfer,0.07484456605736549,0.3711905344596528
B5_quant,0,lycos_ids2017,-0.18659212892137259,0.2854466064448989,0.4720387353662715,otsu,-0.19549244997135826,-0.0188550650257115
B5_quant,0,lycos_ids2017,-0.18659212892137259,0.2854466064448989,0.4720387353662715,gmm,-0.10831727682800393,0.1658229425443919
B5_quant,0,lycos_ids2017,-0.18659212892137259,0.2854466064448989,0.4720387353662715,topk10,-0.1751702806255245,0.02419684538597339
B5_quant,0,lycos_ids2017,-0.18659212892137259,0.2854466064448989,0.4720387353662715,topk20,-0.15315196869621936,0.07084198333682473
B5_quant,0,lycos_ids2017,-0.18659212892137259,0.2854466064448989,0.4720387353662715,topk30,-0.07901841328490143,0.22789171221933918
B5_quant,0,lycos_ids2017,-0.18659212892137259,0.2854466064448989,0.4720387353662715,topk40,-0.059611263942714085,0.2690051800094956
B5_quant,0,lycos_ids2017,-0.18659212892137259,0.2854466064448989,0.4720387353662715,prevalence_transfer,-0.10889945610803022,0.16458961308134573
E1.C,2,lycos_ids2017,-0.28901742702909217,0.0,0.28901742702909217,otsu,-0.296156281688447,-0.024700429772479538
E1.C,2,lycos_ids2017,-0.28901742702909217,0.0,0.28901742702909217,gmm,-0.30407434507118697,-0.052096920925737776
E1.C,2,lycos_ids2017,-0.28901742702909217,0.0,0.28901742702909217,topk10,-0.1703820729108444,0.41047820312339184
E1.C,2,lycos_ids2017,-0.28901742702909217,0.0,0.28901742702909217,topk20,-0.25040926895456905,0.13358418719379458
E1.C,2,lycos_ids2017,-0.28901742702909217,0.0,0.28901742702909217,topk30,-0.3018376846255267,-0.0443580780862188
E1.C,2,lycos_ids2017,-0.28901742702909217,0.0,0.28901742702909217,topk40,-0.30697401979714467,-0.06212979249256487
E1.C,2,lycos_ids2017,-0.28901742702909217,0.0,0.28901742702909217,prevalence_transfer,-0.2780896717274925,0.037810022094272186
E6.1_anomal_e,0,unsw_nb15,0.033747803390998705,0.3640314176153403,0.3302836142243416,otsu,0.34958894241450367,0.9562725046631386
E6.1_anomal_e,0,unsw_nb15,0.033747803390998705,0.3640314176153403,0.3302836142243416,gmm,0.3604244531948725,0.9890791905346602
E6.1_anomal_e,0,unsw_nb15,0.033747803390998705,0.3640314176153403,0.3302836142243416,topk10,-0.01601808246782839,-0.15067621800040057
E6.1_anomal_e,0,unsw_nb15,0.033747803390998705,0.3640314176153403,0.3302836142243416,topk20,0.136718214011916,0.31176360614419024
E6.1_anomal_e,0,unsw_nb15,0.033747803390998705,0.3640314176153403,0.3302836142243416,topk30,0.3224231858404355,0.8740227187091308
E6.1_anomal_e,0,unsw_nb15,0.033747803390998705,0.3640314176153403,0.3302836142243416,topk40,0.36211150833582345,0.9941870889234826
E6.1_anomal_e,0,unsw_nb15,0.033747803390998705,0.3640314176153403,0.3302836142243416,prevalence_transfer,-0.00950625679484149,-0.1309603574716254
E4.3_graphstats,0,cic_ids2018,-0.09161016328048717,0.21139491840304636,0.3030050816835335,otsu,-0.09316780619761218,-0.0051406494850533765
E4.3_graphstats,0,cic_ids2018,-0.09161016328048717,0.21139491840304636,0.3030050816835335,gmm,-0.09763004770907453,-0.01986727217622934
E4.3_graphstats,0,cic_ids2018,-0.09161016328048717,0.21139491840304636,0.3030050816835335,topk10,-0.09701121569027492,-0.017824956531352007
E4.3_graphstats,0,cic_ids2018,-0.09161016328048717,0.21139491840304636,0.3030050816835335,topk20,-0.0588301433826818,0.10818306978772615
E4.3_graphstats,0,cic_ids2018,-0.09161016328048717,0.21139491840304636,0.3030050816835335,topk30,0.08348813581548965,0.5778724836003051
E4.3_graphstats,0,cic_ids2018,-0.09161016328048717,0.21139491840304636,0.3030050816835335,topk40,0.10049691310410817,0.6340061206803027
E4.3_graphstats,0,cic_ids2018,-0.09161016328048717,0.21139491840304636,0.3030050816835335,prevalence_transfer,-0.10509810099307158,-0.04451389936315184
E1.E,1,lycos_ids2017,-0.42604480165725633,0.14682373559964804,0.5728685372569043,otsu,-0.4450050847396127,-0.03309709269974025
E1.E,1,lycos_ids2017,-0.42604480165725633,0.14682373559964804,0.5728685372569043,gmm,-0.45763409450911746,-0.055142307174210946
E1.E,1,lycos_ids2017,-0.42604480165725633,0.14682373559964804,0.5728685372569043,topk10,-0.1874506750568805,0.4164901911751835
E1.E,1,lycos_ids2017,-0.42604480165725633,0.14682373559964804,0.5728685372569043,topk20,-0.27036756596329586,0.2717503677883895
E1.E,1,lycos_ids2017,-0.42604480165725633,0.14682373559964804,0.5728685372569043,topk30,-0.3584553773033583,0.11798417954237794
E1.E,1,lycos_ids2017,-0.42604480165725633,0.14682373559964804,0.5728685372569043,topk40,-0.44975608635422926,-0.0413904467690107
E1.E,1,lycos_ids2017,-0.42604480165725633,0.14682373559964804,0.5728685372569043,prevalence_transfer,-0.30631485969373906,0.20900072909716122
E6.1_anomal_e,1,lycos_ids2017,-0.11904088680688679,0.0,0.11904088680688679,otsu,-0.27060104046586403,-1.2731772899579
E6.1_anomal_e,1,lycos_ids2017,-0.11904088680688679,0.0,0.11904088680688679,gmm,-0.28479876292309414,-1.3924449032802222
E6.1_anomal_e,1,lycos_ids2017,-0.11904088680688679,0.0,0.11904088680688679,topk10,-0.13133355981922884,-0.1032642929843403
E6.1_anomal_e,1,lycos_ids2017,-0.11904088680688679,0.0,0.11904088680688679,topk20,-0.18911879907980433,-0.5886877538689789
E6.1_anomal_e,1,lycos_ids2017,-0.11904088680688679,0.0,0.11904088680688679,topk30,-0.1618635420819721,-0.3597306473745785
E6.1_anomal_e,1,lycos_ids2017,-0.11904088680688679,0.0,0.11904088680688679,topk40,-0.17294419831807648,-0.4528134236653826
E6.1_anomal_e,1,lycos_ids2017,-0.11904088680688679,0.0,0.11904088680688679,prevalence_transfer,-0.17086314842135894,-0.43533161592235475
E10.1_gib_b0.01,0,lycos_ids2017,-0.07264049233645989,0.19802458736557527,0.2706650797020351,otsu,-0.032703591344836525,0.14755099193286544
E10.1_gib_b0.01,0,lycos_ids2017,-0.07264049233645989,0.19802458736557527,0.2706650797020351,gmm,0.11703577968209712,0.7007785127928745
E10.1_gib_b0.01,0,lycos_ids2017,-0.07264049233645989,0.19802458736557527,0.2706650797020351,topk10,-0.03457186225173492,0.14064847274215525
E10.1_gib_b0.01,0,lycos_ids2017,-0.07264049233645989,0.19802458736557527,0.2706650797020351,topk20,0.08682514279266355,0.589162204835116
