method,seed,test_fold,n_edges,prevalence,reported_mcc,oracle_mcc,gap,auroc,auprc,pred_pos_rate_at_05,true_pos_rate_at_05,optimal_threshold,reported_threshold
E1.A,2,lycos_ids2017,1837486,0.24044972315435328,0.0,0.5451317867178533,0.5451317867178533,0.8478700092800651,0.5115325174472446,0.0,0.0,2.0791893480155083e-25,0.5
E1.A,2,ton_iot,27520260,0.38982356998080686,-0.011951229941994301,0.22245821142017558,0.23440944136216987,0.5727798082358206,0.41498856674166634,0.002824028552055831,0.28029542705679505,0.0,0.5
E1.A,2,unsw_nb15,2538252,0.1258692990294108,-0.00481137647223484,0.0,0.00481137647223484,0.3481650281257349,0.10594583105441563,0.00016074054112830404,0.0,1.000001,0.5
E1.B,0,cic_ids2018,8392401,0.12144355351942787,0.0791931680532401,0.25801262007216935,0.17881945201892924,0.6255864673579599,0.19077116870339555,0.07062579588368097,0.2152804022135241,0.004096813499927521,0.5
E1.B,0,lycos_ids2017,1837486,0.24044972315435328,-0.18659212892137259,0.2854466064448989,0.4720387353662715,0.5587600281324547,0.23627560221564176,0.1321354285148295,0.036087760557173276,0.0025420840829610825,0.5
E1.B,0,ton_iot,27520260,0.38982356998080686,0.04160113430874395,0.2675973792283949,0.22599624491965092,0.5993462094934002,0.439174460924167,0.03109109434285868,0.5030871808656728,1.7442438320358633e-06,0.5
E1.B,0,unsw_nb15,2538252,0.1258692990294108,-0.19847965483729443,0.0,0.19847965483729443,0.23988070507587655,0.07737830125359806,0.23103261614686013,0.0057586810795693865,1.000001,0.5
E1.B,1,cic_ids2018,8392401,0.12144355351942787,-0.06790694657544134,0.0,0.06790694657544134,0.2694353714152702,0.07904250279431668,0.05868296808029073,0.03260567198182302,1.000001,0.5
E1.B,1,lycos_ids2017,1837486,0.24044972315435328,-0.2242050637371203,0.33829975951311975,0.5625048232502401,0.6283643592523869,0.27128891001598293,0.16987068200791733,0.02863824947538725,0.003857803763821721,0.5
E1.B,1,ton_iot,27520260,0.38982356998080686,-0.1009396772305921,0.10353786475496585,0.20447754198555795,0.45534224810064927,0.3349167379600654,0.020342649379039297,0.04819277108433735,1.5456360635823785e-09,0.5
E1.B,1,unsw_nb15,2538252,0.1258692990294108,-0.19030861673419455,0.0,0.19030861673419455,0.26661106243653,0.0808780076329599,0.23795864240430029,0.012903994874163698,1.000001,0.5
